kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K07184.01","FALSE POSITIVE",2.51690133,2.521,59.6,0.093,0.97,5403.00,1.2840,4.201,14.587
"K07309.01","FALSE POSITIVE",9.296746368,6.88069,213838,1.623,400.4,6461.00,2.8840,3.670,13.211
"K07310.01","FALSE POSITIVE",18.060078203,11.5759,58975.4,0.328,20.71,5330.00,0.8550,4.464,14.724
"K07311.01","FALSE POSITIVE",18.74072534,5.19791,125477,0.203,35.61,6122.00,0.9960,4.471,15.861
"K07312.01","FALSE POSITIVE",0.93371313,2.971,66,0.133,0.69,5436.00,0.8690,4.548,15.788
"K07313.01","FALSE POSITIVE",0.93373716,5.015,144.9,0.793,1.14,5390.00,0.8520,4.479,15.926
"K07314.01","FALSE POSITIVE",0.933735579,3.892,351.4,0.565,10.28,5016.00,5.3440,3.013,13.505
"K07315.01","FALSE POSITIVE",58.28819056,21.6014,156160,0.499,42.57,5463.00,1.0440,4.353,14.231
"K07316.01","FALSE POSITIVE",3.989144446,20.7947,630524,0.252,60.26,5538.00,0.7190,4.555,14.404
"K07317.01","FALSE POSITIVE",32.77897303,19.1378,410080,0.496,69.08,6122.00,0.9640,4.487,14.520
"K07441.01","FALSE POSITIVE",28.487107336,3.77887,37662.9,1.175,116.84,6351.00,2.3850,3.814,13.363
"K07442.01","FALSE POSITIVE",8.61733907,4.05563,185861,0.825,51.79,5387.00,0.8700,4.482,15.257
"K07443.01","FALSE POSITIVE",2.16146908,3.643,84.8,0.41,0.95,6047.00,1.0130,4.422,15.535
"K07444.01","FALSE POSITIVE",10.26782676,6.02685,247175,0.277,73.59,6664.00,1.4400,4.176,13.691
"K07446.01","FALSE POSITIVE",1.057335679,1.5795,47337,0.262,14.59,4664.00,0.6830,4.594,15.414
"K07447.01","FALSE POSITIVE",1.149198426,4.1603,37721,1.167,42.03,5858.00,0.8670,4.486,14.554
"K07448.01","FALSE POSITIVE",2.50012775,28.2,49.9,0.9917,1.66,6923.00,1.6640,4.120,11.270
"K06264.01","FALSE POSITIVE",1.40469182,6.26327,702439,0.597,217.25,6230.00,1.8630,4.043,13.821
"K06265.01","FALSE POSITIVE",10.306982793,11.4277,341790,0.564,81.21,5912.00,1.2170,4.225,13.545
"K06266.01","FALSE POSITIVE",1.109841858,8.11952,300713,0.12,177.78,5788.00,3.2110,3.607,14.520
"K06268.01","FALSE POSITIVE",7.234965722,7.0245,164848,0.548,34.03,5653.00,0.7980,4.573,16.981
"K06269.01","FALSE POSITIVE",7.45301717,3.685,551.5,0.035,37.37,4475.00,16.7550,2.329,14.158
"K06394.01","FALSE POSITIVE",3.684337918,2.1931,76.7,1.045,12.52,9609.00,2.1080,4.149,10.483
"K06395.01","FALSE POSITIVE",11.2570616,29.059,690235,0,162.84,6915.00,1.8750,4.012,12.538
"K06396.01","FALSE POSITIVE",21.858963291,6.32492,117113,0.969,114.63,5923.00,2.0600,3.904,13.916
"K06397.01","FALSE POSITIVE",1.461270059,16.467,3348.7,1.288,26.29,5226.00,0.6740,4.651,15.722
"K06398.01","FALSE POSITIVE",9.4022333,2.79,316,0.019,23.61,4597.00,13.8740,2.420,10.590
"K06400.01","FALSE POSITIVE",9.543584955,3.72007,68184.5,0.985,77.97,5537.00,1.7850,3.837,12.256
